kode dapil;jenis dapil;nama dapil;kode wilayah;tingkatan wilayah;nama;is_pecah
1101;DPR RI;ACEH I;1101;Kabupaten/Kota;ACEH SELATAN;FALSE
1101;DPR RI;ACEH I;1102;Kabupaten/Kota;ACEH TENGGARA;FALSE
1101;DPR RI;ACEH I;1105;Kabupaten/Kota;ACEH BARAT;FALSE
1101;DPR RI;ACEH I;1106;Kabupaten/Kota;ACEH BESAR;FALSE
1101;DPR RI;ACEH I;1107;Kabupaten/Kota;PIDIE;FALSE
1101;DPR RI;ACEH I;1109;Kabupaten/Kota;SIMEULUE;FALSE
1101;DPR RI;ACEH I;1110;Kabupaten/Kota;ACEH SINGKIL;FALSE
1101;DPR RI;ACEH I;1112;Kabupaten/Kota;ACEH BARAT DAYA;FALSE
1101;DPR RI;ACEH I;1113;Kabupaten/Kota;GAYO LUES;FALSE
1101;DPR RI;ACEH I;1114;Kabupaten/Kota;ACEH JAYA;FALSE
1101;DPR RI;ACEH I;1115;Kabupaten/Kota;NAGAN RAYA;FALSE
1101;DPR RI;ACEH I;1118;Kabupaten/Kota;PIDIE JAYA;FALSE
1101;DPR RI;ACEH I;1171;Kabupaten/Kota;KOTA BANDA ACEH;FALSE
1101;DPR RI;ACEH I;1172;Kabupaten/Kota;KOTA SABANG;FALSE
1101;DPR RI;ACEH I;1175;Kabupaten/Kota;KOTA SUBULUSSALAM;FALSE
1102;DPR RI;ACEH II;1103;Kabupaten/Kota;ACEH TIMUR;FALSE
1102;DPR RI;ACEH II;1104;Kabupaten/Kota;ACEH TENGAH;FALSE
1102;DPR RI;ACEH II;1108;Kabupaten/Kota;ACEH UTARA;FALSE
1102;DPR RI;ACEH II;1111;Kabupaten/Kota;BIREUEN;FALSE
1102;DPR RI;ACEH II;1116;Kabupaten/Kota;ACEH TAMIANG;FALSE
1102;DPR RI;ACEH II;1117;Kabupaten/Kota;BENER MERIAH;FALSE
1102;DPR RI;ACEH II;1173;Kabupaten/Kota;KOTA LHOKSEUMAWE;FALSE
1102;DPR RI;ACEH II;1174;Kabupaten/Kota;KOTA LANGSA;FALSE
1201;DPR RI;SUMATERA UTARA I;1207;Kabupaten/Kota;DELI SERDANG;FALSE
1201;DPR RI;SUMATERA UTARA I;1218;Kabupaten/Kota;SERDANG BEDAGAI;FALSE
1201;DPR RI;SUMATERA UTARA I;1271;Kabupaten/Kota;KOTA MEDAN;FALSE
1201;DPR RI;SUMATERA UTARA I;1276;Kabupaten/Kota;KOTA TEBING TINGGI;FALSE
1202;DPR RI;SUMATERA UTARA II;1201;Kabupaten/Kota;TAPANULI TENGAH;FALSE
1202;DPR RI;SUMATERA UTARA II;1202;Kabupaten/Kota;TAPANULI UTARA;FALSE
1202;DPR RI;SUMATERA UTARA II;1203;Kabupaten/Kota;TAPANULI SELATAN;FALSE
1202;DPR RI;SUMATERA UTARA II;1204;Kabupaten/Kota;NIAS;FALSE
1202;DPR RI;SUMATERA UTARA II;1210;Kabupaten/Kota;LABUHANBATU;FALSE
1202;DPR RI;SUMATERA UTARA II;1212;Kabupaten/Kota;TOBA;FALSE
1202;DPR RI;SUMATERA UTARA II;1213;Kabupaten/Kota;MANDAILING NATAL;FALSE
1202;DPR RI;SUMATERA UTARA II;1214;Kabupaten/Kota;NIAS SELATAN;FALSE
1202;DPR RI;SUMATERA UTARA II;1216;Kabupaten/Kota;HUMBANG HASUNDUTAN;FALSE
1202;DPR RI;SUMATERA UTARA II;1217;Kabupaten/Kota;SAMOSIR;FALSE
1202;DPR RI;SUMATERA UTARA II;1220;Kabupaten/Kota;PADANG LAWAS UTARA;FALSE
1202;DPR RI;SUMATERA UTARA II;1221;Kabupaten/Kota;PADANG LAWAS;FALSE
1202;DPR RI;SUMATERA UTARA II;1222;Kabupaten/Kota;LABUHANBATU SELATAN;FALSE
1202;DPR RI;SUMATERA UTARA II;1223;Kabupaten/Kota;LABUHANBATU UTARA;FALSE
1202;DPR RI;SUMATERA UTARA II;1224;Kabupaten/Kota;NIAS UTARA;FALSE
